date,AAPL,AMGN,GILD,JPM,MSFT,NVDA,PEP,TSLA,V,XOM
20241203,0.479462974408776,0.7935188595721683,0.6317751803484201,0.5590923851537529,0.44693600580622533,0.8139099315015271,0.45085854748353893,0.6825789992163632,0.6761478089219884,0.745672766009606
20241204,0.4704564786037535,0.8438678220292215,0.8167439188304634,0.5616558234095291,0.3984555623074449,0.7329244236555578,0.5819571404612544,0.7356346935621232,0.6449687414727424,0.9554453595616764
20241205,0.451693910342187,0.9149899033526236,0.9758413670701136,0.6149550337462135,0.33808800108453485,0.82505206866325,0.3488653678637565,0.7656196703269484,0.7156857788624552,0.9996978056174758
20241206,0.3412794621118425,0.9780435718350755,0.9876788363930556,0.8224171755130616,0.42848883901139245,0.6403312907075979,0.5753501989205029,0.8199763215096882,0.5931225927353588,0.5108706597122219
20241209,0.4517734568182874,0.5503993782945302,0.9988150328953544,0.7680147727098573,0.4612118353082322,0.6806676276562621,0.4423182639554849,0.7564684844076898,0.592916779655596,0.597425928454737
20241210,0.4757002589127825,0.9025719286906962,0.9767215198625492,0.6718498712425639,0.4633167610864358,0.8149551228855338,0.5066551663173097,0.8045686023288463,0.6161280179237594,0.5482942942516711
20241211,0.3853357708510722,0.8990547429093522,0.9976305405747924,0.8409442830044236,0.4525548008679019,0.8284291194348367,0.5051532287178322,0.7519665935190991,0.6071839319071843,0.828575541368212
20241212,0.43214799995499603,0.8386862628423082,0.9889399619404083,0.6090987614880669,0.44917828201068777,0.7699164930667448,0.9952396045244446,0.7789540186432748,1.0,0.9997755079271701
20241213,0.4775112890376991,0.9744548472465292,0.9950276915208098,0.4653582957959546,0.45342351983448004,0.7571605023711465,0.5033208538640267,0.7444516218261462,0.7921324823339347,0.7560664496127402
20241216,0.45537720499648476,0.8374574421960461,0.8464410010029064,0.48705693304591674,0.49652067559531904,0.8257789253421031,0.7764142322401331,0.828968998622767,0.9189590831169161,0.5960270310416309
